"Block","Phase","Trial","RunningTime","Cue","Image","CorrResp","Resp","Accuracy","ISI","RT_from_CueOnset","ITI","subID"
2,1,82,501.89,1,1,1,1,1,1,0.88,1.5,2
2,1,83,507.67,2,1,1,2,0,1,0.66,4.5,2
2,1,84,516.46,4,4,4,4,1,1,0.68,1.5,2
2,1,85,522.24,2,2,2,2,1,1,2.61,4.5,2
2,1,86,531.03,4,3,3,4,0,1,0.66,2.5,2
2,1,87,537.81,2,2,2,2,1,1,0.75,0.5,2
2,1,88,542.59,4,4,4,4,1,1,0.75,2.5,2
2,1,89,549.38,4,4,4,4,1,1,0.69,0.5,2
2,1,90,554.16,4,3,3,4,0,1,1.94,0.5,2
2,1,91,558.94,4,4,4,4,1,1,2.46,0.5,2
2,1,92,563.73,3,4,4,3,0,1,0.92,0.5,2
2,1,93,568.51,2,2,2,2,1,1,1.37,5.5,2
2,1,94,578.3,4,3,3,4,0,1,0.66,0.5,2
2,1,95,583.08,4,4,4,4,1,1,1.7,1.5,2
2,1,96,588.86,1,1,1,1,1,1,2.13,0.5,2
2,1,97,593.65,2,2,2,2,1,1,0.83,1.5,2
2,1,98,599.43,2,2,2,2,1,1,0.47,3.5,2
2,1,99,607.21,1,1,1,1,1,1,0.8,0.5,2
2,1,100,612,1,2,2,1,0,1,0.5,1.5,2
2,2,101,0.51,4,3,3,4,0,4,5.91,5.5,2
2,2,102,14.28,1,1,1,1,1,4,5.51,1.5,2
2,2,103,24.06,3,3,3,3,1,8,0.92,0.5,2
2,2,104,36.83,1,1,1,1,1,8,0.91,8,2
2,2,105,57.1,4,4,4,4,1,8,1.12,1.5,2
2,2,106,70.86,2,1,1,2,0,4,1,0.5,2
2,2,107,79.65,3,4,4,3,0,4,5.77,0.5,2
2,2,108,88.43,2,2,2,2,1,4,1.8,0.5,2
2,2,109,97.21,4,3,3,4,0,4,1.27,1.5,2
2,2,110,107,4,3,3,4,0,8,0.81,0.5,2
2,2,111,119.77,4,3,3,4,0,6,0.78,3.5,2
2,2,112,133.53,4,4,4,4,1,4,6.11,8,2
2,2,113,149.8,2,2,2,2,1,6,1.11,1.5,2
2,2,114,161.57,2,2,2,2,1,4,5.5,0.5,2
2,2,115,170.35,3,3,3,4,0,8,10.87,4.5,2
2,2,116,187.12,2,1,1,2,0,8,1.29,1.5,2
2,2,117,200.89,2,1,1,2,0,8,10.64,3.5,2
2,2,118,216.66,1,1,1,1,1,6,1.16,6.5,2
2,2,119,233.42,1,1,1,1,1,4,0.81,3.5,2
2,2,120,245.19,2,1,1,2,0,6,1.21,1.5,2
2,2,121,256.96,3,4,4,3,0,8,9.67,6.5,2
2,2,122,275.73,4,3,3,4,0,6,2.88,0.5,2
2,2,123,286.49,1,1,1,1,1,8,0.94,3.5,2
2,2,124,302.26,3,4,4,3,0,8,0.72,8,2
2,2,125,322.53,3,3,3,3,1,4,0.75,1.5,2
2,2,126,332.3,4,4,4,4,1,4,0.71,1.5,2
2,2,127,342.08,2,2,2,2,1,8,1.09,0.5,2
2,2,128,354.85,4,4,4,4,1,6,0.63,5.5,2
2,2,129,370.62,3,3,3,3,1,6,0.71,1.5,2
2,2,130,382.38,1,1,1,1,1,6,1.04,1.5,2
2,2,131,394.15,4,4,4,4,1,6,0.73,0.5,2
2,2,132,404.92,4,4,4,4,1,6,1.61,4.5,2
2,2,133,419.69,1,1,1,2,0,6,7.9,2.5,2
2,2,134,432.45,3,3,3,3,1,6,0.81,3.5,2
2,2,135,446.22,1,1,1,1,1,6,7.67,3.5,2
2,2,136,459.99,3,3,3,3,1,6,0.65,3.5,2
2,2,137,473.76,4,3,3,4,0,4,0.65,5.5,2
