subID,RT,faceChoice,carChoice,faceCorrect,carCorrect,cueIdx,coh1,coh2,stimOnsetTime,respTime,timeout,accuracy
1,867,0,1,0,1,0,1,0,1103566,1104433,0,1
1,833,1,0,1,0,1,0,1,1107115,1107948,0,1
1,633,1,0,1,0,1,1,0,1110764,1111397,0,1
1,650,1,0,1,0,0,0,1,1114329,1114979,0,1
1,567,1,0,1,0,0,1,0,1117678,1118245,0,1
1,616,1,0,1,0,0,1,0,1120811,1121427,0,1
1,1066,1,0,1,0,2,1,0,1124393,1125459,0,1
1,634,0,1,0,1,0,0,1,1128041,1128675,0,1
1,833,1,0,1,0,2,1,0,1131690,1132523,0,1
1,816,1,0,1,0,0,0,1,1147176,1147992,0,1
1,633,0,1,1,0,1,0,1,1150825,1151458,0,0
1,584,1,0,1,0,0,0,1,1154240,1154824,0,1
1,600,0,1,0,1,0,0,1,1157389,1157989,0,1
1,717,0,1,0,1,1,0,1,1160988,1161705,0,1
1,550,1,0,1,0,2,1,0,1164304,1164854,0,1
1,750,1,0,1,0,1,1,0,1167386,1168136,0,1
1,533,0,1,1,0,0,0,1,1170718,1171251,0,0
1,716,0,1,0,1,0,0,1,1173934,1174650,0,1
1,550,1,0,1,0,0,0,1,1177449,1177999,0,1
1,600,0,1,0,1,1,1,0,1180798,1181398,0,1
1,616,0,1,0,1,1,0,1,1183964,1184580,0,1
1,683,0,1,0,1,1,1,0,1187246,1187929,0,1
1,783,1,0,1,0,1,0,1,1190862,1191645,0,1
1,649,0,1,0,1,1,0,1,1194211,1194860,0,1
1,783,0,1,0,1,1,1,0,1197476,1198259,0,1
1,666,0,1,0,1,0,0,1,1201042,1201708,0,1
1,816,0,1,0,1,1,0,1,1204241,1205057,0,1
1,616,1,0,1,0,0,0,1,1207973,1208589,0,1
1,733,1,0,1,0,1,1,0,1211238,1211971,0,1
1,584,0,1,0,1,1,1,0,1214770,1215354,0,1
1,750,1,0,1,0,0,1,0,1217969,1218719,0,1
